ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
"
ChildsPlay",ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,"ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ
",ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.schoolsplay.org/,Συλλογή εκπιαδευτικών δραστηριοτήτων για παιδια,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,,
7-zip,"ΕΡΓΑΛΕΙΑ ΣΥΣΤΗΜΑΤΟΣ
",ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.7-zip.org/,Το 7-Zip μια εφαρμογή συμπίεσης αρχείων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
8085 simulator,ΗΛΕΚΤΡΟΝΙΚΗ,ΠΛΗΡΟΦΟΡΙΚΗ,"ΛΥΚΕΙΟ
",https://gnusim8085.github.io/,Το GNUSim8085 είναι simulator και assembler για τον Intel 8085 Microprocessor,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, LINUX",
Αβάκιο,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΜΑΘΗΜΑΤΙΚΑ,"ΛΥΚΕΙΟ
",http://etl.ppp.uoa.gr/_content/download/index_download.htm,"Το «Αβάκιο / E-Slate» αποτελεί ένα «ανοιχτό» εκπαιδευτικό λογισμικό διερευνητικής μάθησης βασισμένο στην αρχιτεκτονική Ψηφίδων για την ανάπτυξη εκπαιδευτικών προϊόντων. Τα εκπαιδευτικά προϊόντα που κατασκευάζονται με το «Αβάκιο E-Slate» μπορούν να καλύψουν μεγάλο εύρος γνωστικών αντικειμένων και επιπέδων εκπαίδευσης. Εκπαιδευτικές εφαρμογές βασισμένες στο «Αβάκιο E-Slate», όπως ο «Χελωνόκοσμος» το «Ταξινομούμε», ο «Ξένιος» και οι «Μυκήνες» χρησιμοποιούνται σε αρκετά σχολεία (αντίστοιχα σε γνωστικά αντικείμενα Μαθηματικών, Γεωγραφίας, Ξένων Γλωσσών, Ιστορίας).",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS,
"Αγγλικά Α,Β,Γ Γυμνασίου","ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΓΓΛΙΚΑ,ΓΥΜΝΑΣΙΟ,http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Αγγλικά Γενικής Αγωγής-Κινητικά προβλήματα,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΓΓΛΙΚΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Κινητικά Προβλήματα,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Αγγλικά για Αρχάριους Α΄- Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΑΓΓΛΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία των Αγγλικών για αρχαρίους στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Αγγλικά για προχωρημένους Α΄ - Γ΄,ΕΚΠΑΙΔΕΥΤΙΚΟ ΛΟΓΙΣΜΙΚΟ,ΑΓΓΛΙΚΑ,ΓΥΜΝΑΣΙΟ,http://ts.sch.gr/wiki/Linux/Λογισμικό,Ηλεκτρονικό υποστηρικτικό υλικό για τη διδασκαλία των Αγγλικών για προχωρημένους στις Α´ - Γ´ τάξεις του Γυμνασίου,Λογισμικό Π.Ι.,ΕΦΑΡΜΟΓΗ,LINUX,
Αγγλικά Δ-Στ Δημοτικού,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΑΓΓΛΙΚΑ,"ΠΡΩΤΟΒΑΘΜΙΑ
",http://www.prosvasimo.gr/el/ekpaideutiko-uliko,Εφαρμογή για χρήση από μαθητές με Προβλήματα Όρασης,Λογισμικό Π.Ι.,"ΕΦΑΡΜΟΓΗ
",Windows,
Ακτίνες,"ΕΙΔΙΚΗ ΑΓΩΓΗ
",ΓΕΝΙΚΗΣ ΧΡΗΣΗΣ,ΠΡΟΣΧΟΛΙΚΗ#ΠΡΩΤΟΒΑΘΜΙΑ,http://www.prosvasimo.gr/el/gia-mathites-me-metria-kai-elafria-nohtikh-kathysterhsh/aktines-gia-metria-kai-elafria-nohtikh-kathisterhsh,Εφαρμογή για χρήση από μαθητές με Μέτρια και Ελαφριά Νοητική Καθυστέρηση,Λογισμικό Π.Ι. / Inte*learn,"ΕΦΑΡΜΟΓΗ
",Windows,
